sps_descripcion,fecha
"12.9 PERNO PARKER M12*70",13/12/2012
"12.9 PERNO PARKER M6*100",24/10/2012
"12.9 PERNO PARKER M6*20",24/10/2012
"2PALETA 575 2* 3PELOTA FUNDA",18/12/2006
"2PALETA 575 2* 3PELOTA FUNDA",27/12/2006
"2PALETA 575 2* 3PELOTA FUNDA",06/11/2007
"2PALETA 575 2* 3PELOTA FUNDA",13/10/2006
"2PALETA 575 2* 3PELOTA FUNDA",15/12/2006
"2PALETA 575 2* 3PELOTA FUNDA",20/10/2006
"2PALETA 575 2* 3PELOTA FUNDA",19/12/2007
"2PALETA 575 2* 3PELOTA FUNDA",25/10/2006
"2PALETA 575 2* 3PELOTA FUNDA",14/11/2007
"304 PERNO 1/4*2-1/2",30/11/2012
"304 PERNO 3/8*1-1/2",03/12/2013
"304 PERNO 3/8*2",29/10/2012
"304 PERNO 5/8*3-1/2",12/11/2013
"304 TUERCA 1/4",30/11/2012
"304 TUERCA 3/4",31/10/2012
"304 TUERCA 3/8",22/11/2013
"ABRAZADERA 1-1/4..21-38",25/10/2013
"ABRAZADERA 1-1/4..21-38",27/12/2013
"ABRAZADERA 1..18-32",25/10/2013
"ABRAZADERA 1..18-32",23/12/2013
"ABRAZADERA 1/2..13-19",22/11/2013
"ABRAZADERA 1/2..13-19",03/10/2013
"ABRAZADERA 1/2..13-19",25/10/2013
"ABRAZADERA 1/2..13-19",22/11/2013
"ABRAZADERA 3/4..16-25",22/11/2013
"ABRAZADERA 3/4..16-25",23/12/2013
"ABRAZADERA 3/4..16-25",25/10/2013
"ABRAZADERA 3/8..9-16",23/12/2013
"ABRAZADERA 3/8..9-16",25/10/2013
"ABRAZADERA 3/8..9-16",22/11/2013
"ABRAZADERA 3/8..9-16",27/12/2013
"ABRAZADERA 3/8..9-16",01/10/2013
"ABRAZADERA ALTA SEGURIDAD 175-187",26/12/2013
"ABRAZADERA ALTA SEGURIDAD 188-200",04/12/2013
"ABRAZADERA ALTA SEGURIDAD 188-200",11/12/2013
"ABRAZADERA ALTA SEGURIDAD 188-200",26/12/2013
"ABRAZADERA ALTA SEGURIDAD 20-22",22/11/2013
"ANDADOR 630RC-C-BAR-13",13/11/2009
"ANDADOR 630RC-C-BAR-13",13/12/2006
"ANDADOR 630RC-C-BAR-13",28/12/2007
"ANDADOR 630RC-C-BAR-13",12/12/2006
"ANDADOR 630RC-C-BAR-13",22/11/2007
"ANDADOR 630RC-C-BAR-13",05/12/2007
"ANDADOR 630RC-C-BAR-13",04/12/2009
"ANDADOR HG-005-10",24/11/2009
"ANDADOR HG-005-10",10/12/2010
"ANDADOR HG-005-10",04/12/2009
"ANDADOR HG-005-10",13/11/2009
"ANTIVIBRADOR ",19/12/2013
"ANTIVIBRADOR ",20/12/2007
"ANTIVIBRADOR ",12/12/2013
"ANTIVIBRADOR ",19/11/2009
"ANTIVIBRADOR ",09/10/2009
"ANTIVIBRADOR ",04/12/2007
"ANTIVIBRADOR ",02/10/2009
"ANTIVIBRADOR ",03/12/2009
"ANTIVIBRADOR ",14/10/2009
"ANTIVIBRADOR ",13/12/2013
"ANTIVIBRADOR ",23/11/2007
"ANTIVIBRADOR ",20/12/2006
"ANTIVIBRADOR ",17/10/2007
"ANTIVIBRADOR ",10/10/2012
"ANTIVIBRADOR ",23/11/2009
"ANTIVIBRADOR ",10/10/2013
"ANTIVIBRADOR ",06/11/2007
"ANTIVIBRADOR ",23/11/2010
